Tick,Alive
0,135443893
1,227359040
2,289773952
3,337230315
4,363183093
5,378307817
6,385902290
7,388965778
8,390512796
9,392021312
10,392726419
11,392070287
12,392539293
13,392759461
14,392981803
15,392696952
16,392397427
17,392204932
18,392471922
19,391734386
20,392656073
21,393016660
22,393251877
23,392408493
24,392999781
25,392864612
26,392215182
27,393260162
28,392536961
29,392993524
30,393121700
31,393160386
32,392939692
33,392255528
34,392755084
35,393013155
36,392300592
37,392585792
38,392198603
39,392651507
40,392411454
41,393266366
42,392698166
43,391924048
44,392488126
45,392714090
46,392261576
47,391717478
48,392555437
49,392383200
50,392181741
51,392811768
52,392444897
53,393617911
54,393103261
55,392689749
56,392602425
57,393036704
58,393110140
59,392656290
60,392825049
61,392702795
62,392462253
63,392725568
64,392321558
65,392044971
66,392046371
67,393562676
68,392702966
69,392739250
70,392457763
71,393624310
72,392995914
73,393512755
74,392966269
75,391925723
76,392189496
77,392318877
78,392090643
79,392668586
80,392541492
81,392260174
82,392454263
83,392012392
84,392191646
85,391319432
86,392426055
87,392860636
88,392720790
89,392661859
90,392408851
91,392180046
92,392522501
93,392767227
94,392554528
95,391500579
96,392511962
97,391988581
98,391826238
99,392436508
100,392809163
101,392710642
102,392527769
103,391959410
104,392737821
105,391903443
106,392383783
107,392775874
108,392044053
109,392263963
110,393202464
111,392688798
112,392466847
113,392690631
114,393801176
115,393380117
116,393451946
117,392517966
118,392603219
119,392662863
120,392409676
121,391626793
122,392646814
123,392399957
124,393295280
125,391608519
126,392781848
127,392810400
128,391747873
129,392299281
130,392281678
131,392338006
132,391281603
133,392400045
134,393297870
135,392719227
136,393098766
137,392179269
138,391577424
139,392280142
140,392557518
141,392265437
142,392024110
143,392941889
144,392700109
145,392350727
146,392691546
147,392496827
148,392219453
149,392488233
150,392515571
151,391275709
152,392665627
153,392204764
154,391872026
155,392442633
156,392745506
157,392191071
158,392438937
159,392317759
160,393254903
161,392512641
162,392762565
163,392221370
164,392544457
165,392490315
166,393111844
167,393063705
168,392307100
169,392532459
170,392835631
171,392550398
172,393005644
173,392351292
174,392329940
175,392086403
176,392459904
177,392361145
178,392346172
179,392833266
180,392512480
181,392645623
182,393088459
183,392388131
184,392160072
185,392541796
186,391985112
187,392459651
188,392927289
189,392818672
190,393087316
191,393300081
192,391935465
193,392611736
194,392408784
195,392750671
196,391593169
197,391960358
198,392572674
199,393184296
200,393679834
201,393084214
202,392850100
203,392267610
204,392181792
205,391969774
206,392794749
207,391811140
208,393284321
209,393218692
210,393005430
211,390888721
212,392331744
213,392694542
214,392333005
215,392141613
216,393090434
217,393708780
218,393418592
219,392870317
220,393185627
221,393016221
222,392483378
223,392906873
224,392777733
225,391879240
226,391727126
227,392168787
228,392096261
229,393291188
230,392722718
231,393487570
232,393049070
233,392362569
234,392577551
235,393076280
236,392824853
237,392472390
238,393412696
239,392311655
240,392401664
241,393155787
242,391912802
243,392337810
244,392961879
245,392664188
246,391919177
247,392699559
248,392921490
249,393983866
250,393428386
251,391273885
252,392879429
253,392853869
254,392129044
255,392753408
